case_id,seed,n,deleted_count,expected_repair,oracle,singleton,fd_hash,bcnf,all_match
0,42,14,4,True,True,True,True,True,True
1,42,15,4,True,True,True,True,True,True
2,42,17,5,True,True,True,True,True,True
3,42,18,5,True,True,True,True,True,True
4,42,20,6,True,True,True,True,True,True
5,42,21,6,True,True,True,True,True,True
6,42,14,4,True,True,True,True,True,True
7,42,15,4,True,True,True,True,True,True
8,42,17,5,True,True,True,True,True,True
9,42,18,5,True,True,True,True,True,True
10,42,20,6,True,True,True,True,True,True
11,42,21,6,True,True,True,True,True,True
12,42,14,4,True,True,True,True,True,True
13,42,15,4,True,True,True,True,True,True
14,42,17,5,True,True,True,True,True,True
15,42,18,5,True,True,True,True,True,True
16,42,20,6,True,True,True,True,True,True
17,42,21,6,True,True,True,True,True,True
18,42,14,4,True,True,True,True,True,True
19,42,15,4,True,True,True,True,True,True
20,42,17,5,True,True,True,True,True,True
21,42,18,5,True,True,True,True,True,True
22,42,20,6,True,True,True,True,True,True
23,42,21,6,True,True,True,True,True,True
24,42,14,4,True,True,True,True,True,True
25,42,15,4,True,True,True,True,True,True
26,42,17,5,True,True,True,True,True,True
27,42,18,5,True,True,True,True,True,True
28,42,20,6,True,True,True,True,True,True
29,42,21,6,True,True,True,True,True,True
30,42,14,4,True,True,True,True,True,True
31,42,15,4,True,True,True,True,True,True
32,42,17,5,True,True,True,True,True,True
33,42,18,5,True,True,True,True,True,True
34,42,20,6,True,True,True,True,True,True
35,42,21,6,True,True,True,True,True,True
36,42,14,4,True,True,True,True,True,True
37,42,15,4,True,True,True,True,True,True
38,42,17,5,True,True,True,True,True,True
39,42,18,5,True,True,True,True,True,True
40,42,20,6,True,True,True,True,True,True
41,42,21,6,True,True,True,True,True,True
42,42,14,4,True,True,True,True,True,True
43,42,15,4,True,True,True,True,True,True
44,42,17,5,True,True,True,True,True,True
45,42,18,5,True,True,True,True,True,True
46,42,20,6,True,True,True,True,True,True
47,42,21,6,True,True,True,True,True,True
48,42,14,4,True,True,True,True,True,True
49,42,15,4,True,True,True,True,True,True
50,42,17,5,True,True,True,True,True,True
51,42,18,5,True,True,True,True,True,True
52,42,20,6,True,True,True,True,True,True
53,42,21,6,True,True,True,True,True,True
54,42,14,4,True,True,True,True,True,True
55,42,15,4,True,True,True,True,True,True
56,42,17,5,True,True,True,True,True,True
57,42,18,5,True,True,True,True,True,True
58,42,20,6,True,True,True,True,True,True
59,42,21,6,True,True,True,True,True,True
60,42,14,4,True,True,True,True,True,True
61,42,15,4,True,True,True,True,True,True
62,42,17,5,True,True,True,True,True,True
63,42,18,5,True,True,True,True,True,True
64,42,20,6,True,True,True,True,True,True
65,42,21,6,True,True,True,True,True,True
66,42,14,4,True,True,True,True,True,True
67,42,15,4,True,True,True,True,True,True
68,42,17,5,True,True,True,True,True,True
69,42,18,5,True,True,True,True,True,True
70,42,20,6,True,True,True,True,True,True
71,42,21,6,True,True,True,True,True,True
72,42,14,4,True,True,True,True,True,True
73,42,15,4,True,True,True,True,True,True
74,42,17,5,True,True,True,True,True,True
75,42,18,5,True,True,True,True,True,True
76,42,20,6,True,True,True,True,True,True
77,42,21,6,True,True,True,True,True,True
78,42,14,4,True,True,True,True,True,True
79,42,15,4,True,True,True,True,True,True
80,42,17,5,True,True,True,True,True,True
81,42,18,5,True,True,True,True,True,True
82,42,20,6,True,True,True,True,True,True
83,42,21,6,True,True,True,True,True,True
84,42,14,4,True,True,True,True,True,True
85,42,15,4,True,True,True,True,True,True
86,42,17,5,True,True,True,True,True,True
87,42,18,5,True,True,True,True,True,True
88,42,20,6,True,True,True,True,True,True
89,42,21,6,True,True,True,True,True,True
90,42,14,4,True,True,True,True,True,True
91,42,15,4,True,True,True,True,True,True
92,42,17,5,True,True,True,True,True,True
93,42,18,5,True,True,True,True,True,True
94,42,20,6,True,True,True,True,True,True
95,42,21,6,True,True,True,True,True,True
96,42,14,4,True,True,True,True,True,True
97,42,15,4,True,True,True,True,True,True
98,42,17,5,True,True,True,True,True,True
99,42,18,5,True,True,True,True,True,True
100,42,20,6,True,True,True,True,True,True
101,42,21,6,True,True,True,True,True,True
102,42,14,4,True,True,True,True,True,True
103,42,15,4,True,True,True,True,True,True
104,42,17,5,True,True,True,True,True,True
105,42,18,5,True,True,True,True,True,True
106,42,20,6,True,True,True,True,True,True
107,42,21,6,True,True,True,True,True,True
108,42,14,4,True,True,True,True,True,True
109,42,15,4,True,True,True,True,True,True
110,42,17,5,True,True,True,True,True,True
111,42,18,5,True,True,True,True,True,True
112,42,20,6,True,True,True,True,True,True
113,42,21,6,True,True,True,True,True,True
114,42,14,4,True,True,True,True,True,True
115,42,15,4,True,True,True,True,True,True
116,42,17,5,True,True,True,True,True,True
117,42,18,5,True,True,True,True,True,True
118,42,20,6,True,True,True,True,True,True
119,42,21,6,True,True,True,True,True,True
120,42,14,4,True,True,True,True,True,True
121,42,15,4,True,True,True,True,True,True
122,42,17,5,True,True,True,True,True,True
123,42,18,5,True,True,True,True,True,True
124,42,20,6,True,True,True,True,True,True
125,42,21,6,True,True,True,True,True,True
126,42,14,4,True,True,True,True,True,True
127,42,15,4,True,True,True,True,True,True
128,42,17,5,True,True,True,True,True,True
129,42,18,5,True,True,True,True,True,True
130,42,20,6,True,True,True,True,True,True
131,42,21,6,True,True,True,True,True,True
132,42,14,4,True,True,True,True,True,True
133,42,15,4,True,True,True,True,True,True
134,42,17,5,True,True,True,True,True,True
135,42,18,5,True,True,True,True,True,True
136,42,20,6,True,True,True,True,True,True
137,42,21,6,True,True,True,True,True,True
138,42,14,4,True,True,True,True,True,True
139,42,15,4,True,True,True,True,True,True
140,42,17,5,True,True,True,True,True,True
141,42,18,5,True,True,True,True,True,True
